Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_picked_protein_group_no_remap_128.csv,picked_protein_group_no_remap,128,6740
proteinGroups_classic_grouping_no_remap_16.csv,classic_grouping_no_remap,16,4970
proteinGroups_savitski_subset_no_remap_1.csv,savitski_subset_no_remap,1,3953
proteinGroups_classic_rescue_grouping_no_remap_8192.csv,classic_rescue_grouping_no_remap,8192,8378
proteinGroups_picked_no_grouping_no_remap_16384.csv,picked_no_grouping_no_remap,16384,0
proteinGroups_picked_subset_no_remap_512.csv,picked_subset_no_remap,512,6585
proteinGroups_picked_protein_group_no_remap_64.csv,picked_protein_group_no_remap,64,6442
proteinGroups_classic_no_grouping_no_remap_512.csv,classic_no_grouping_no_remap,512,0
proteinGroups_picked_no_grouping_no_remap_16.csv,picked_no_grouping_no_remap,16,0
proteinGroups_picked_subset_no_remap_128.csv,picked_subset_no_remap,128,6461
proteinGroups_picked_subset_no_remap_16.csv,picked_subset_no_remap,16,5009
proteinGroups_classic_no_grouping_no_remap_128.csv,classic_no_grouping_no_remap,128,0
proteinGroups_savitski_subset_no_remap_2.csv,savitski_subset_no_remap,2,4287
proteinGroups_savitski_rescued_subset_no_remap_64.csv,savitski_rescued_subset_no_remap,64,6381
proteinGroups_picked_protein_group_no_remap_512.csv,picked_protein_group_no_remap,512,7492
proteinGroups_classic_rescue_grouping_no_remap_16384.csv,classic_rescue_grouping_no_remap,16384,8379
proteinGroups_picked_protein_group_no_remap_4.csv,picked_protein_group_no_remap,4,4640
proteinGroups_picked_subset_no_remap_4.csv,picked_subset_no_remap,4,4632
proteinGroups_picked_no_grouping_no_remap_512.csv,picked_no_grouping_no_remap,512,0
proteinGroups_picked_subset_no_remap_2048.csv,picked_subset_no_remap,2048,5653
proteinGroups_classic_rescue_grouping_no_remap_32.csv,classic_rescue_grouping_no_remap,32,5724
proteinGroups_classic_grouping_no_remap_2048.csv,classic_grouping_no_remap,2048,5533
proteinGroups_picked_no_grouping_no_remap_22796.csv,picked_no_grouping_no_remap,22796,0
proteinGroups_classic_grouping_no_remap_1024.csv,classic_grouping_no_remap,1024,6088
proteinGroups_picked_protein_group_no_remap_8192.csv,picked_protein_group_no_remap,8192,8547
proteinGroups_picked_protein_group_no_remap_1.csv,picked_protein_group_no_remap,1,3959
proteinGroups_picked_subset_no_remap_1024.csv,picked_subset_no_remap,1024,6234
proteinGroups_picked_subset_no_remap_1.csv,picked_subset_no_remap,1,3964
proteinGroups_savitski_rescued_subset_no_remap_512.csv,savitski_rescued_subset_no_remap,512,7426
proteinGroups_savitski_subset_no_remap_64.csv,savitski_subset_no_remap,64,6218
proteinGroups_picked_no_grouping_no_remap_8192.csv,picked_no_grouping_no_remap,8192,0
proteinGroups_classic_no_grouping_no_remap_1024.csv,classic_no_grouping_no_remap,1024,0
proteinGroups_savitski_subset_no_remap_256.csv,savitski_subset_no_remap,256,6514
proteinGroups_classic_no_grouping_no_remap_8.csv,classic_no_grouping_no_remap,8,0
proteinGroups_savitski_rescued_subset_no_remap_128.csv,savitski_rescued_subset_no_remap,128,6669
proteinGroups_classic_no_grouping_no_remap_16.csv,classic_no_grouping_no_remap,16,0
proteinGroups_savitski_subset_no_remap_4.csv,savitski_subset_no_remap,4,4600
proteinGroups_picked_no_grouping_no_remap_128.csv,picked_no_grouping_no_remap,128,0
proteinGroups_classic_rescue_grouping_no_remap_22796.csv,classic_rescue_grouping_no_remap,22796,8366
proteinGroups_picked_protein_group_no_remap_2.csv,picked_protein_group_no_remap,2,4288
proteinGroups_savitski_subset_no_remap_4096.csv,savitski_subset_no_remap,4096,4826
proteinGroups_classic_no_grouping_no_remap_2048.csv,classic_no_grouping_no_remap,2048,0
proteinGroups_picked_subset_no_remap_2.csv,picked_subset_no_remap,2,4299
proteinGroups_picked_no_grouping_no_remap_4096.csv,picked_no_grouping_no_remap,4096,0
proteinGroups_classic_rescue_grouping_no_remap_2.csv,classic_rescue_grouping_no_remap,2,4254
proteinGroups_savitski_rescued_subset_no_remap_2.csv,savitski_rescued_subset_no_remap,2,4275
proteinGroups_picked_protein_group_no_remap_4096.csv,picked_protein_group_no_remap,4096,8446
proteinGroups_picked_subset_no_remap_16384.csv,picked_subset_no_remap,16384,3701
proteinGroups_classic_no_grouping_no_remap_64.csv,classic_no_grouping_no_remap,64,0
proteinGroups_savitski_no_remap_4.csv,savitski_no_remap,4,0
proteinGroups_classic_no_grouping_no_remap_16384.csv,classic_no_grouping_no_remap,16384,0
proteinGroups_classic_grouping_no_remap_128.csv,classic_grouping_no_remap,128,6354
proteinGroups_picked_protein_group_no_remap_22796.csv,picked_protein_group_no_remap,22796,8559
proteinGroups_classic_grouping_no_remap_512.csv,classic_grouping_no_remap,512,6478
proteinGroups_savitski_subset_no_remap_8192.csv,savitski_subset_no_remap,8192,4183
proteinGroups_classic_rescue_grouping_no_remap_1.csv,classic_rescue_grouping_no_remap,1,3931
proteinGroups_savitski_rescued_subset_no_remap_1.csv,savitski_rescued_subset_no_remap,1,3947
proteinGroups_savitski_rescued_subset_no_remap_1024.csv,savitski_rescued_subset_no_remap,1024,7664
proteinGroups_savitski_rescued_subset_no_remap_2048.csv,savitski_rescued_subset_no_remap,2048,8124
proteinGroups_classic_grouping_no_remap_4.csv,classic_grouping_no_remap,4,4577
