Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_picked_protein_group_no_remap_128.csv,picked_protein_group_no_remap,128,33
proteinGroups_classic_grouping_no_remap_16.csv,classic_grouping_no_remap,16,48
proteinGroups_savitski_subset_no_remap_1.csv,savitski_subset_no_remap,1,31
proteinGroups_classic_rescue_grouping_no_remap_8192.csv,classic_rescue_grouping_no_remap,8192,73
proteinGroups_picked_no_grouping_no_remap_16384.csv,picked_no_grouping_no_remap,16384,0
proteinGroups_picked_subset_no_remap_512.csv,picked_subset_no_remap,512,48
proteinGroups_picked_protein_group_no_remap_64.csv,picked_protein_group_no_remap,64,40
proteinGroups_classic_no_grouping_no_remap_512.csv,classic_no_grouping_no_remap,512,0
proteinGroups_picked_no_grouping_no_remap_16.csv,picked_no_grouping_no_remap,16,0
proteinGroups_picked_subset_no_remap_128.csv,picked_subset_no_remap,128,38
proteinGroups_picked_subset_no_remap_16.csv,picked_subset_no_remap,16,32
proteinGroups_classic_no_grouping_no_remap_128.csv,classic_no_grouping_no_remap,128,0
proteinGroups_savitski_subset_no_remap_2.csv,savitski_subset_no_remap,2,39
proteinGroups_savitski_rescued_subset_no_remap_64.csv,savitski_rescued_subset_no_remap,64,52
proteinGroups_picked_protein_group_no_remap_512.csv,picked_protein_group_no_remap,512,47
proteinGroups_classic_rescue_grouping_no_remap_16384.csv,classic_rescue_grouping_no_remap,16384,65
proteinGroups_picked_protein_group_no_remap_4.csv,picked_protein_group_no_remap,4,34
proteinGroups_picked_subset_no_remap_4.csv,picked_subset_no_remap,4,34
proteinGroups_picked_no_grouping_no_remap_512.csv,picked_no_grouping_no_remap,512,0
proteinGroups_picked_subset_no_remap_2048.csv,picked_subset_no_remap,2048,53
proteinGroups_classic_rescue_grouping_no_remap_32.csv,classic_rescue_grouping_no_remap,32,53
proteinGroups_classic_grouping_no_remap_2048.csv,classic_grouping_no_remap,2048,59
proteinGroups_picked_no_grouping_no_remap_22796.csv,picked_no_grouping_no_remap,22796,0
proteinGroups_classic_grouping_no_remap_1024.csv,classic_grouping_no_remap,1024,72
proteinGroups_picked_protein_group_no_remap_8192.csv,picked_protein_group_no_remap,8192,46
proteinGroups_picked_protein_group_no_remap_1.csv,picked_protein_group_no_remap,1,30
proteinGroups_picked_subset_no_remap_1024.csv,picked_subset_no_remap,1024,53
proteinGroups_picked_subset_no_remap_1.csv,picked_subset_no_remap,1,30
proteinGroups_savitski_rescued_subset_no_remap_512.csv,savitski_rescued_subset_no_remap,512,80
proteinGroups_savitski_subset_no_remap_64.csv,savitski_subset_no_remap,64,53
proteinGroups_picked_no_grouping_no_remap_8192.csv,picked_no_grouping_no_remap,8192,0
proteinGroups_classic_no_grouping_no_remap_1024.csv,classic_no_grouping_no_remap,1024,0
proteinGroups_savitski_subset_no_remap_256.csv,savitski_subset_no_remap,256,77
proteinGroups_classic_no_grouping_no_remap_8.csv,classic_no_grouping_no_remap,8,0
proteinGroups_savitski_rescued_subset_no_remap_128.csv,savitski_rescued_subset_no_remap,128,56
proteinGroups_classic_no_grouping_no_remap_16.csv,classic_no_grouping_no_remap,16,0
proteinGroups_savitski_subset_no_remap_4.csv,savitski_subset_no_remap,4,43
proteinGroups_picked_no_grouping_no_remap_128.csv,picked_no_grouping_no_remap,128,0
proteinGroups_classic_rescue_grouping_no_remap_22796.csv,classic_rescue_grouping_no_remap,22796,66
proteinGroups_picked_protein_group_no_remap_2.csv,picked_protein_group_no_remap,2,30
proteinGroups_savitski_subset_no_remap_4096.csv,savitski_subset_no_remap,4096,67
proteinGroups_classic_no_grouping_no_remap_2048.csv,classic_no_grouping_no_remap,2048,0
proteinGroups_picked_subset_no_remap_2.csv,picked_subset_no_remap,2,30
proteinGroups_picked_no_grouping_no_remap_4096.csv,picked_no_grouping_no_remap,4096,0
proteinGroups_classic_rescue_grouping_no_remap_2.csv,classic_rescue_grouping_no_remap,2,37
proteinGroups_savitski_rescued_subset_no_remap_2.csv,savitski_rescued_subset_no_remap,2,37
proteinGroups_picked_protein_group_no_remap_4096.csv,picked_protein_group_no_remap,4096,47
proteinGroups_picked_subset_no_remap_16384.csv,picked_subset_no_remap,16384,31
proteinGroups_classic_no_grouping_no_remap_64.csv,classic_no_grouping_no_remap,64,0
proteinGroups_savitski_no_remap_4.csv,savitski_no_remap,4,0
proteinGroups_classic_no_grouping_no_remap_16384.csv,classic_no_grouping_no_remap,16384,0
proteinGroups_classic_grouping_no_remap_128.csv,classic_grouping_no_remap,128,64
proteinGroups_picked_protein_group_no_remap_22796.csv,picked_protein_group_no_remap,22796,52
