Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_picked_protein_group_no_remap_128.csv,picked_protein_group_no_remap,128,6773
proteinGroups_classic_grouping_no_remap_16.csv,classic_grouping_no_remap,16,5018
proteinGroups_savitski_subset_no_remap_1.csv,savitski_subset_no_remap,1,3984
proteinGroups_classic_rescue_grouping_no_remap_8192.csv,classic_rescue_grouping_no_remap,8192,8451
proteinGroups_picked_no_grouping_no_remap_16384.csv,picked_no_grouping_no_remap,16384,0
proteinGroups_picked_subset_no_remap_512.csv,picked_subset_no_remap,512,6633
proteinGroups_picked_protein_group_no_remap_64.csv,picked_protein_group_no_remap,64,6482
proteinGroups_classic_no_grouping_no_remap_512.csv,classic_no_grouping_no_remap,512,0
proteinGroups_picked_no_grouping_no_remap_16.csv,picked_no_grouping_no_remap,16,0
proteinGroups_picked_subset_no_remap_128.csv,picked_subset_no_remap,128,6499
proteinGroups_picked_subset_no_remap_16.csv,picked_subset_no_remap,16,5041
proteinGroups_classic_no_grouping_no_remap_128.csv,classic_no_grouping_no_remap,128,0
proteinGroups_savitski_subset_no_remap_2.csv,savitski_subset_no_remap,2,4326
proteinGroups_savitski_rescued_subset_no_remap_64.csv,savitski_rescued_subset_no_remap,64,6433
proteinGroups_picked_protein_group_no_remap_512.csv,picked_protein_group_no_remap,512,7539
proteinGroups_classic_rescue_grouping_no_remap_16384.csv,classic_rescue_grouping_no_remap,16384,8444
proteinGroups_picked_protein_group_no_remap_4.csv,picked_protein_group_no_remap,4,4674
proteinGroups_picked_subset_no_remap_4.csv,picked_subset_no_remap,4,4666
proteinGroups_picked_no_grouping_no_remap_512.csv,picked_no_grouping_no_remap,512,0
proteinGroups_picked_subset_no_remap_2048.csv,picked_subset_no_remap,2048,5706
proteinGroups_classic_rescue_grouping_no_remap_32.csv,classic_rescue_grouping_no_remap,32,5777
proteinGroups_classic_grouping_no_remap_2048.csv,classic_grouping_no_remap,2048,5592
proteinGroups_picked_no_grouping_no_remap_22796.csv,picked_no_grouping_no_remap,22796,0
proteinGroups_classic_grouping_no_remap_1024.csv,classic_grouping_no_remap,1024,6160
proteinGroups_picked_protein_group_no_remap_8192.csv,picked_protein_group_no_remap,8192,8593
proteinGroups_picked_protein_group_no_remap_1.csv,picked_protein_group_no_remap,1,3989
proteinGroups_picked_subset_no_remap_1024.csv,picked_subset_no_remap,1024,6287
proteinGroups_picked_subset_no_remap_1.csv,picked_subset_no_remap,1,3994
proteinGroups_savitski_rescued_subset_no_remap_512.csv,savitski_rescued_subset_no_remap,512,7506
proteinGroups_savitski_subset_no_remap_64.csv,savitski_subset_no_remap,64,6271
proteinGroups_picked_no_grouping_no_remap_8192.csv,picked_no_grouping_no_remap,8192,0
proteinGroups_classic_no_grouping_no_remap_1024.csv,classic_no_grouping_no_remap,1024,0
proteinGroups_savitski_subset_no_remap_256.csv,savitski_subset_no_remap,256,6591
proteinGroups_classic_no_grouping_no_remap_8.csv,classic_no_grouping_no_remap,8,0
proteinGroups_savitski_rescued_subset_no_remap_128.csv,savitski_rescued_subset_no_remap,128,6725
proteinGroups_classic_no_grouping_no_remap_16.csv,classic_no_grouping_no_remap,16,0
proteinGroups_savitski_subset_no_remap_4.csv,savitski_subset_no_remap,4,4643
